Time      ECG     TEB
0.005     372     7.254
0.01     460     10.0971
0.015     458     8.5416
0.02     384     7.4365
0.025     353     6.8177
0.03     438     6.5359
0.035     448     6.8454
0.04     363     7.366
0.045     352     7.9569
0.05     427     8.5088
0.055     444     8.9765
0.06     367     9.4275
0.065     352     9.7763
0.07     425     10.0644
0.075     447     10.0938
0.08     359     10.12
0.085     348     10.092
0.09     427     10.1168
0.095     439     10.0831
0.1     355     10.1025
0.105     341     10.0938
0.11     428     10.0901
0.115     427     10.1343
0.12     344     10.1253
0.125     344     10.1129
0.13     417     10.0832
0.135     440     10.0991
0.14     352     10.1184
0.145     340     10.1025
0.15     415     10.1217
0.155     432     10.1392
0.16     346     10.1235
0.165     338     10.1587
0.17     416     10.143
0.175     430     10.0813
0.18     364     10.1081
0.185     338     10.1377
0.19     419     10.1585
0.195     448     10.1463
0.2     352     10.1288
0.205     351     10.1322
0.21     424     10.1849
0.215     447     10.1552
0.22     362     10.1255
0.225     356     10.169
0.23     444     10.1536
0.235     450     10.1571
0.24     371     10.1568
0.245     361     10.1725
0.25     456     10.1812
0.255     452     10.1761
0.26     378     10.1782
0.265     356     10.1446
0.27     444     10.1654
0.275     439     10.1502
0.28     360     10.1164
0.285     345     10.176
0.29     440     10.1621
0.295     438     10.1971
0.3     335     10.1864
0.305     336     10.1817
0.31     413     10.1864
0.315     420     10.192
0.32     331     10.2005
0.325     331     10.1729
0.33     416     10.1851
0.335     409     10.1672
0.34     333     10.1426
0.345     323     10.1568
0.35     407     10.1829
0.355     405     10.1817
0.36     322     10.1396
0.365     328     10.1426
0.37     412     10.1745
0.375     400     10.1831
0.38     329     10.1603
0.385     331     10.1463
0.39     416     10.1467
0.395     408     10.1672
0.4     329     10.153
0.405     335     10.1969
0.41     405     10.1727
0.415     414     10.1758
0.42     336     10.1778
0.425     339     10.1849
0.43     407     10.2185
0.435     403     10.1812
0.44     329     10.2024
0.445     331     10.1831
0.45     416     10.1709
0.455     407     10.1709
0.46     322     10.2058
