Time      ECG     TEB
1.465     495     13.9725
1.47     506     13.9655
1.475     556     13.9638
1.48     527     13.962
1.485     484     13.9743
1.49     501     13.9796
1.495     530     13.9796
1.5     515     13.976
1.505     480     13.9708
1.51     494     13.9726
1.515     533     13.9655
1.52     513     13.9568
1.525     477     13.962
1.53     494     13.9655
1.535     528     13.9708
1.54     518     13.9673
1.545     478     13.9743
1.55     494     13.9743
1.555     532     13.9603
1.56     518     13.9603
1.565     478     13.9691
1.57     496     13.9603
1.575     537     13.9586
1.58     515     13.9638
1.585     479     13.9691
1.59     496     13.9691
1.595     531     13.9638
1.6     519     13.9568
1.605     477     13.9603
1.61     497     13.9532
1.615     531     13.9532
1.62     518     13.9532
1.625     480     13.962
1.63     495     13.9725
1.635     534     13.9813
1.64     517     13.9778
1.645     478     13.9725
1.65     498     13.9708
1.655     529     13.962
1.66     511     13.948
1.665     474     13.9427
1.67     492     13.9427
1.675     530     13.948
1.68     512     13.948
1.685     474     13.948
1.69     493     13.962
1.695     531     13.9568
1.7     506     13.962
1.705     468     13.9585
1.71     493     13.9585
1.715     524     13.9568
1.72     505     13.9445
1.725     469     13.955
1.73     489     13.9497
1.735     523     13.9445
1.74     508     13.9392
1.745     467     13.948
1.75     488     13.9463
1.755     528     13.948
1.76     508     13.948
1.765     471     13.941
1.77     490     13.9445
1.775     527     13.9357
1.78     508     13.9304
1.785     467     13.9269
1.79     490     13.9234
1.795     524     13.9269
1.8     508     13.9269
1.805     468     13.9445
1.81     487     13.9532
1.815     528     13.9515
1.82     509     13.9532
1.825     472     13.9427
1.83     492     13.9392
1.835     525     13.9374
1.84     508     13.9374
1.845     474     13.9374
1.85     488     13.9409
1.855     526     13.9409
1.86     506     13.9427
1.865     469     13.9357
1.87     490     13.9357
1.875     528     13.9322
1.88     511     13.9339
1.885     469     13.9427
1.89     490     13.9427
1.895     526     13.9515
1.9     507     13.955
1.905     470     13.9532
1.91     492     13.9445
1.915     524     13.9392
1.92     507     13.9445
1.925     471     13.9462
1.93     489     13.9445
1.935     527     13.9357
1.94     509     13.9427
1.945     468     13.9392
1.95     489     13.9304
1.955     522     13.9252
1.96     510     13.9287
1.965     467     13.9304
1.97     491     13.9269
1.975     527     13.9322
1.98     511     13.9462
1.985     474     13.9339
1.99     496     13.9374
1.995     533     13.9322
2     517     13.9322
2.005     480     13.9217
2.01     498     13.9112
2.015     534     13.9164
2.02     511     13.9181
2.025     472     13.9234
2.03     491     13.9251
2.035     526     13.9199
2.04     510     13.9181
2.045     473     13.9217
2.05     492     13.9217
2.055     527     13.9164
2.06     505     13.9217
2.065     466     13.9392
2.07     483     13.9445
2.075     519     13.9357
2.08     501     13.9287
