Time      ECG     TEB
1.465     489     21.8542
1.47     495     21.8436
1.475     495     21.8456
1.48     495     21.8192
1.485     498     21.8438
1.49     488     21.8559
1.495     500     21.8578
1.5     496     21.8542
1.505     488     21.8525
1.51     503     21.8473
1.515     489     21.8352
1.52     500     21.835
1.525     495     21.8507
1.53     495     21.8507
1.535     506     21.863
1.54     500     21.8805
1.545     488     21.8805
1.55     496     21.8928
1.555     504     21.8371
1.56     499     21.8734
1.565     504     21.884
1.57     504     21.8665
1.575     504     21.8771
1.58     508     21.8859
1.585     504     21.8999
1.59     511     21.8788
1.595     495     21.8736
1.6     492     21.8611
1.605     500     21.8713
1.61     504     21.8594
1.615     504     21.8665
1.62     496     21.8647
1.625     504     21.8805
1.63     506     21.8857
1.635     504     21.8926
1.64     489     21.8926
1.645     504     21.8786
1.65     506     21.8717
1.655     487     21.8965
1.66     498     21.849
1.665     491     21.8333
1.67     495     21.8455
1.675     498     21.8525
1.68     504     21.8578
1.685     495     21.87
1.69     481     21.884
1.695     487     21.884
1.7     484     21.8876
1.705     500     21.8857
1.71     496     21.8734
1.715     496     21.9032
1.72     508     21.8874
1.725     506     21.8663
1.73     511     21.8874
1.735     511     21.8717
1.74     512     21.8632
1.745     503     21.8665
1.75     504     21.8315
1.755     516     21.8771
1.76     520     21.87
1.765     520     21.8703
1.77     520     21.8613
1.775     511     21.8717
1.78     512     21.8699
1.785     512     21.8542
1.79     509     21.8436
1.795     500     21.8769
1.8     496     21.8507
1.805     490     21.8822
1.81     496     21.8945
1.815     490     21.8682
1.82     479     21.9051
1.825     479     21.8965
1.83     484     21.8823
1.835     490     21.8699
1.84     480     21.8734
1.845     479     21.8699
1.85     481     21.8699
1.855     474     21.8753
1.86     472     21.8857
1.865     487     21.8805
1.87     532     21.8751
1.875     607     21.8734
1.88     680     21.8803
1.885     764     21.8891
1.89     751     21.8961
1.895     640     21.9014
1.9     562     21.8686
1.905     516     21.9122
1.91     480     21.8928
1.915     453     21.8997
1.92     471     21.8822
1.925     484     21.8892
1.93     495     21.914
1.935     483     21.8909
1.94     492     21.8928
1.945     481     21.884
1.95     479     21.8788
1.955     481     21.8648
1.96     487     21.8807
1.965     482     21.87
1.97     498     21.8647
1.975     487     21.8769
1.98     495     21.8961
1.985     487     21.8786
1.99     487     21.8769
1.995     491     21.8734
2     492     21.8717
2.005     484     21.8648
2.01     487     21.8544
2.015     500     21.8682
2.02     500     21.8576
2.025     502     21.8857
2.03     503     21.8628
2.035     500     21.8663
2.04     497     21.8805
2.045     510     21.884
2.05     504     21.9101
2.055     504     21.884
2.06     508     21.8999
2.065     511     21.9068
2.07     511     21.9243
2.075     512     21.9068
2.08     511     21.9259
2.085     512     21.8945
2.09     510     21.9015
2.095     512     21.9088
2.1     512     21.8911
2.105     510     21.9224
2.11     511     21.9276
2.115     512     21.9189
2.12     511     21.8997
2.125     507     21.9047
2.13     503     21.8717
2.135     510     21.8524
2.14     512     21.854
2.145     506     21.8822
2.15     510     21.8838
2.155     503     21.8838
2.16     496     21.8769
2.165     504     21.8594
2.17     495     21.8682
2.175     496     21.8648
2.18     496     21.8613
2.185     489     21.87
2.19     488     21.8909
2.195     488     21.884
2.2     475     21.9047
2.205     492     21.8994
2.21     488     21.87
2.215     480     21.8769
2.22     484     21.8803
2.225     483     21.8786
2.23     496     21.8822
2.235     488     21.8961
2.24     495     21.8961
2.245     488     21.9049
2.25     488     21.9049
2.255     488     21.8997
2.26     488     21.8757
2.265     495     21.9084
2.27     496     21.8811
2.275     483     21.898
2.28     495     21.9191
2.285     484     21.9068
2.29     483     21.8891
2.295     492     21.898
2.3     487     21.8945
2.305     479     21.8874
2.31     495     21.8822
2.315     491     21.8753
2.32     496     21.8786
2.325     500     21.8909
2.33     496     21.8926
2.335     495     21.9118
2.34     488     21.9066
2.345     496     21.8874
2.35     484     21.8838
2.355     480     21.9256
2.36     492     21.849
2.365     488     21.8717
2.37     496     21.8542
2.375     488     21.863
2.38     473     21.863
2.385     483     21.8613
2.39     492     21.8995
2.395     487     21.8682
2.4     492     21.8628
2.405     487     21.8647
2.41     492     21.8559
2.415     479     21.8682
2.42     479     21.8438
2.425     483     21.8401
2.43     480     21.8332
2.435     479     21.8296
2.44     480     21.8244
2.445     488     21.8298
2.45     492     21.835
2.455     496     21.8333
2.46     495     21.8281
2.465     487     21.8227
2.47     498     21.8296
2.475     498     21.8192
2.48     496     21.8157
2.485     504     21.7981
2.49     497     21.7875
2.495     506     21.7911
2.5     508     21.8034
2.505     488     21.8207
