Time      ECG     TEB
1.465     471     14.9056
1.47     512     14.9003
1.475     521     14.9126
1.48     495     14.9126
1.485     483     14.9126
1.49     524     14.9214
1.495     540     14.9214
1.5     509     14.9161
1.505     507     14.9178
1.51     545     14.9248
1.515     565     14.9336
1.52     526     14.9423
1.525     523     14.9388
1.53     562     14.9476
1.535     571     14.9546
1.54     538     14.9582
1.545     528     14.9459
1.55     556     14.9494
1.555     557     14.9582
1.56     517     14.9546
1.565     501     14.9599
1.57     532     14.9582
1.575     537     14.9651
1.58     493     14.9722
1.585     473     14.9617
1.59     506     14.9565
1.595     513     14.9705
1.6     469     14.9669
1.605     463     14.9687
1.61     497     14.9827
1.615     507     14.9967
1.62     476     14.9809
1.625     458     14.9827
1.63     496     14.9827
1.635     506     14.9827
1.64     470     14.9791
1.645     462     14.9774
1.65     499     14.9827
1.655     504     14.9791
1.66     469     14.9827
1.665     456     14.9896
1.67     498     14.9949
1.675     502     14.9879
1.68     467     15.0019
1.685     460     14.9915
1.69     496     15.0002
1.695     503     15.0002
1.7     472     15.023
1.705     464     15.0247
1.71     494     15.023
1.715     504     15.0247
1.72     471     15.0195
1.725     463     15.0195
1.73     494     15.023
1.735     501     15.0283
1.74     465     15.0423
1.745     464     15.0458
1.75     498     15.0388
1.755     506     15.0352
1.76     473     15.0388
1.765     462     15.0247
1.77     503     15.0195
1.775     506     15.03
1.78     466     15.0317
1.785     462     15.0352
1.79     502     15.0388
1.795     500     15.0352
1.8     469     15.0212
1.805     456     15.0195
1.81     499     15.0195
1.815     504     15.0247
1.82     469     15.03
1.825     462     15.0352
1.83     495     15.0335
1.835     503     15.0265
1.84     470     15.0335
1.845     461     15.0247
1.85     500     15.0195
1.855     501     15.0177
1.86     468     15.0124
1.865     463     15.0282
1.87     501     15.0142
1.875     500     15.0089
1.88     460     15.0282
1.885     459     15.0335
1.89     502     15.0212
1.895     496     15.0212
1.9     460     15.0177
1.905     461     15.0177
1.91     499     15.0142
1.915     503     15.0195
1.92     472     15.0177
1.925     463     15.0195
1.93     494     15.0124
1.935     497     15.0124
1.94     464     15.0124
1.945     464     15.0037
1.95     498     14.9984
1.955     498     15.0071
1.96     460     15.0229
1.965     467     15.0247
1.97     496     15.0299
1.975     500     15.0282
1.98     465     15.0229
1.985     466     15.0106
1.99     500     15.0054
1.995     496     15.0037
2     468     15.0001
2.005     463     15.0072
2.01     499     15.0089
2.015     501     15.0265
2.02     467     15.0229
2.025     465     15.037
2.03     501     15.0317
2.035     497     15.0405
2.04     462     15.0457
2.045     467     15.0457
2.05     504     15.0405
2.055     504     15.044
2.06     464     15.0527
2.065     473     15.0282
2.07     500     15.037
2.075     505     15.037
2.08     469     15.0405
2.085     471     15.03
2.09     509     15.0545
2.095     511     15.0352
2.1     475     15.0545
2.105     473     15.0422
2.11     510     15.0615
2.115     502     15.0545
2.12     464     15.051
2.125     469     15.0457
2.13     511     15.0615
2.135     505     15.0615
2.14     465     15.079
2.145     462     15.0826
2.15     495     15.1001
2.155     495     15.0861
2.16     462     15.079
2.165     465     15.0772
2.17     499     15.0808
2.175     496     15.0843
2.18     462     15.079
2.185     460     15.0843
2.19     500     15.0826
2.195     498     15.0826
2.2     462     15.0826
2.205     464     15.079
2.21     499     15.0843
2.215     498     15.0983
2.22     466     15.1
2.225     470     15.1036
2.23     497     15.1036
2.235     490     15.1071
2.24     462     15.1141
2.245     485     15.1018
2.25     553     15.0931
2.255     603     15.0966
2.26     634     15.0966
2.265     712     15.1018
2.27     720     15.0913
2.275     640     15.0966
2.28     562     15.0808
2.285     521     15.0808
2.29     528     15.0861
2.295     512     15.0861
2.3     476     15.0913
2.305     479     15.079
2.31     509     15.0966
2.315     506     15.1071
2.32     464     15.0948
2.325     470     15.0931
2.33     506     15.0983
2.335     495     15.0966
2.34     462     15.0913
2.345     467     15.0913
2.35     505     15.0913
2.355     497     15.0913
2.36     464     15.1018
2.365     462     15.1088
2.37     500     15.1123
2.375     503     15.1159
2.38     467     15.1176
2.385     466     15.1141
2.39     503     15.1124
2.395     498     15.1281
2.4     465     15.1281
2.405     472     15.1159
2.41     503     15.1264
2.415     499     15.1229
2.42     463     15.1194
2.425     472     15.1281
2.43     511     15.1212
2.435     503     15.1229
2.44     464     15.1422
2.445     473     15.1457
2.45     510     15.1334
2.455     512     15.1334
2.46     475     15.1194
2.465     483     15.1194
2.47     520     15.1141
2.475     520     15.1194
2.48     485     15.1281
2.485     492     15.1246
2.49     537     15.1386
2.495     533     15.1334
2.5     503     15.1264
2.505     508     15.1299
2.51     546     15.1369
2.515     545     15.1404
2.52     519     15.1509
2.525     531     15.1562
2.53     567     15.158
2.535     565     15.1509
2.54     528     15.1597
2.545     535     15.1597
2.55     570     15.1545
2.555     562     15.1474
2.56     519     15.1545
2.565     516     15.1685
2.57     540     15.1685
2.575     527     15.1773
2.58     487     15.1896
2.585     493     15.1808
2.59     521     15.1755
2.595     513     15.1755
2.6     468     15.1948
2.605     477     15.1791
2.61     511     15.1791
2.615     504     15.1878
2.62     466     15.1896
2.625     472     15.1843
2.63     500     15.1808
2.635     495     15.186
2.64     459     15.1825
2.645     476     15.186
2.65     508     15.1825
2.655     505     15.1842
2.66     465     15.2001
2.665     469     15.1983
2.67     507     15.1983
2.675     498     15.2106
2.68     470     15.1948
2.685     474     15.186
2.69     503     15.1808
2.695     495     15.172
2.7     466     15.1755
2.705     472     15.1808
2.71     508     15.1896
2.715     498     15.1948
2.72     462     15.2001
2.725     478     15.2088
2.73     510     15.2088
2.735     505     15.2141
2.74     466     15.2264
2.745     474     15.2316
2.75     509     15.2229
2.755     501     15.2246
2.76     464     15.2229
2.765     477     15.2229
2.77     513     15.2264
2.775     502     15.2264
2.78     464     15.2316
2.785     468     15.2334
2.79     504     15.2387
2.795     501     15.2334
2.8     468     15.2369
2.805     475     15.2316
2.81     505     15.2281
2.815     497     15.2158
2.82     464     15.2193
2.825     480     15.2106
2.83     506     15.2158
2.835     496     15.2141
2.84     465     15.2316
2.845     475     15.2316
2.85     511     15.2352
2.855     501     15.2211
2.86     466     15.2176
2.865     475     15.2106
2.87     516     15.2053
2.875     504     15.207
2.88     463     15.207
2.885     477     15.2018
2.89     510     15.2018
2.895     502     15.2001
2.9     468     15.1913
2.905     480     15.1913
2.91     512     15.1913
2.915     498     15.2123
2.92     469     15.2123
2.925     478     15.2246
2.93     508     15.2352
2.935     494     15.2404
2.94     459     15.2579
2.945     485     15.2544
2.95     509     15.2615
2.955     500     15.2667
2.96     464     15.272
2.965     478     15.2755
2.97     512     15.2738
2.975     500     15.279
2.98     469     15.265
2.985     481     15.2685
2.99     506     15.2633
2.995     496     15.2685
3     466     15.2685
3.005     477     15.2615
3.01     511     15.2755
3.015     502     15.2807
3.02     463     15.2684
3.025     475     15.2772
3.03     515     15.279
3.035     507     15.265
3.04     475     15.2615
3.045     487     15.2667
3.05     521     15.272
3.055     508     15.272
3.06     474     15.2895
3.065     489     15.2948
3.07     516     15.2912
3.075     504     15.3035
3.08     468     15.3106
3.085     483     15.3141
3.09     511     15.3246
3.095     491     15.3439
3.1     467     15.3527
3.105     480     15.3474
3.11     508     15.3474
3.115     490     15.3527
3.12     459     15.3439
3.125     474     15.3527
3.13     505     15.3439
3.135     489     15.3597
3.14     461     15.3755
