Time      ECG     TEB
0.005     472     7.2348
0.01     463     9.8204
0.015     407     8.4836
0.02     423     7.3416
0.025     476     6.5281
0.03     462     6.2577
0.035     408     6.5787
0.04     440     7.1615
0.045     494     7.8378
0.05     471     8.3814
0.055     416     8.8802
0.06     439     9.2697
0.065     500     9.6099
0.07     468     9.7907
0.075     427     9.787
0.08     461     9.773
0.085     491     9.7852
0.09     468     9.8045
0.095     432     9.7748
0.1     458     9.7712
0.105     495     9.8326
0.11     464     9.7872
0.115     416     9.7801
0.12     440     9.7868
0.125     487     9.7713
0.13     452     9.7856
0.135     396     9.7591
0.14     427     9.7765
0.145     493     9.7856
0.15     442     9.789
0.155     397     9.7905
0.16     421     9.8065
0.165     480     9.7589
0.17     454     9.7801
0.175     403     9.7836
0.18     427     9.7713
0.185     472     9.7819
0.19     448     9.7661
0.195     393     9.759
0.2     431     9.7694
0.205     484     9.7856
0.21     452     9.7628
0.215     407     9.7414
0.22     429     9.7697
0.225     483     9.7453
0.23     459     9.7713
0.235     404     9.7801
0.24     425     9.7819
0.245     482     9.801
0.25     452     9.7677
0.255     407     9.7578
0.26     432     9.759
0.265     476     9.7453
0.27     456     9.7083
0.275     416     9.7417
0.28     440     9.7382
0.285     481     9.7821
0.29     455     9.7327
0.295     416     9.7626
0.3     447     9.7643
0.305     489     9.7647
0.31     456     9.761
0.315     405     9.7468
0.32     444     9.7768
0.325     491     9.7628
0.33     450     9.7468
0.335     407     9.7397
0.34     447     9.7801
0.345     489     9.7803
0.35     462     9.7295
0.355     408     9.7594
0.36     454     9.7379
0.365     488     9.74
0.37     453     9.7207
0.375     413     9.7557
0.38     460     9.7525
0.385     494     9.7661
0.39     456     9.7433
0.395     414     9.7716
0.4     451     9.7716
0.405     484     9.7362
0.41     461     9.7978
0.415     418     9.7506
0.42     455     9.7539
0.425     503     9.7276
0.43     464     9.7766
0.435     423     9.7787
0.44     458     9.7122
0.445     492     9.8047
0.45     467     9.7644
0.455     422     9.7419
0.46     466     9.7506
0.465     490     9.7821
0.47     464     9.7205
0.475     418     9.7522
0.48     468     9.7668
0.485     495     9.7821
0.49     464     9.7684
0.495     422     9.8068
0.5     456     9.7872
0.505     487     9.7803
0.51     459     9.7734
0.515     415     9.773
0.52     455     9.7437
0.525     495     9.738
0.53     463     9.7559
0.535     429     9.7543
0.54     469     9.7643
0.545     496     9.7661
0.55     468     9.7329
0.555     430     9.752
0.56     474     9.7573
0.565     511     9.7821
0.57     464     9.7417
0.575     432     9.7364
0.58     480     9.7787
0.585     503     9.7242
0.59     464     9.784
0.595     420     9.7837
0.6     468     9.7419
0.605     511     9.7649
0.61     467     9.7293
0.615     434     9.7329
0.62     471     9.7419
0.625     510     9.7681
0.63     468     9.7578
0.635     423     9.7295
0.64     466     9.7244
0.645     504     9.7382
0.65     502     9.7562
0.655     472     9.7431
0.66     547     9.7575
0.665     636     9.7541
0.67     619     9.7734
0.675     515     9.7433
0.68     512     9.7555
0.685     512     9.7805
0.69     448     9.7575
0.695     409     9.7591
0.7     473     9.7083
0.705     512     9.7559
0.71     471     9.7801
0.715     447     9.7557
0.72     482     9.7716
0.725     511     9.7768
0.73     471     9.7334
0.735     438     9.7313
0.74     480     9.7506
0.745     504     9.6932
0.75     463     9.7525
0.755     436     9.7329
0.76     487     9.7175
0.765     511     9.6982
0.77     460     9.7344
0.775     440     9.7049
0.78     485     9.6821
0.785     505     9.7223
