Time      ECG     TEB
0.005     447     5.6572
0.01     472     8.0728
0.015     457     7.3749
0.02     456     6.4365
0.025     484     6.0866
0.03     481     6.0739
0.035     464     6.2432
0.04     464     6.5047
0.045     491     6.9159
0.05     483     7.3052
0.055     470     7.6967
0.06     464     8.0467
0.065     471     8.0857
0.07     478     8.0662
0.075     448     8.0848
0.08     432     8.077
0.085     460     8.0674
0.09     452     8.0902
0.095     424     8.101
0.1     416     8.0977
0.105     440     8.0815
0.11     435     8.0728
0.115     407     8.0848
0.12     404     8.0869
0.125     428     8.0716
0.13     423     8.0707
0.135     395     8.0761
0.14     391     8.072
0.145     421     8.1138
0.15     421     8.0944
0.155     410     8.0737
0.16     399     8.0815
0.165     422     8.062
0.17     423     8.0944
0.175     400     8.0956
0.18     399     8.0761
0.185     415     8.103
0.19     428     8.077
0.195     400     8.0848
0.2     400     8.0794
0.205     420     8.0554
0.21     423     8.0779
0.215     406     8.0935
0.22     391     8.077
0.225     424     8.0857
0.23     420     8.065
0.235     412     8.0782
0.24     404     8.1051
0.245     428     8.0728
0.25     432     8.0438
0.255     399     8.0467
0.26     402     8.0674
0.265     416     8.0728
0.27     420     8.084
0.275     406     8.0965
0.28     404     8.0749
0.285     416     8.0815
0.29     416     8.0869
0.295     398     8.0737
0.3     402     8.0629
0.305     428     8.062
0.31     409     8.0761
0.315     399     8.0935
0.32     400     8.0761
0.325     412     8.0674
0.33     423     8.0608
0.335     400     8.0902
0.34     400     8.0749
0.345     415     8.0587
0.35     428     8.0687
0.355     392     8.0707
0.36     395     8.0827
0.365     411     8.048
0.37     420     8.0662
0.375     400     8.0923
0.38     397     8.0423
0.385     416     8.0567
0.39     420     8.0542
0.395     402     8.0542
0.4     394     8.0542
0.405     424     8.0749
0.41     419     8.0629
0.415     400     8.0782
0.42     392     8.0794
0.425     404     8.089
0.43     408     8.0815
0.435     384     8.0878
0.44     388     8.0944
0.445     415     8.101
0.45     405     8.0932
0.455     391     8.0911
0.46     400     8.0546
0.465     414     8.0728
0.47     416     8.0803
0.475     398     8.0653
0.48     379     8.0824
0.485     407     8.089
0.49     403     8.0944
0.495     384     8.089
0.5     388     8.1063
0.505     415     8.0704
0.51     416     8.0836
0.515     396     8.082
0.52     386     8.1022
0.525     408     8.0608
0.53     411     8.0827
0.535     394     8.0674
0.54     388     8.077
0.545     420     8.0716
0.55     411     8.0662
0.555     387     8.0542
0.56     392     8.0794
0.565     407     8.0977
0.57     416     8.0683
0.575     394     8.0803
0.58     398     8.0857
0.585     411     8.0935
0.59     411     8.101
0.595     390     8.0923
0.6     396     8.089
0.605     415     8.0932
0.61     424     8.0674
0.615     389     8.0869
0.62     394     8.1043
0.625     407     8.0923
0.63     416     8.0878
0.635     396     8.0716
0.64     384     8.0923
0.645     412     8.0977
0.65     401     8.0989
0.655     380     8.0902
0.66     383     8.1096
0.665     399     8.1043
0.67     408     8.1196
0.675     384     8.0989
0.68     382     8.127
0.685     402     8.103
0.69     408     8.0455
0.695     383     8.0803
0.7     383     8.0977
0.705     412     8.1096
0.71     399     8.1051
0.715     376     8.1291
0.72     387     8.103
0.725     431     8.1225
0.73     472     8.0956
0.735     488     8.1159
0.74     531     8.1051
0.745     572     8.1432
0.75     543     8.1345
0.755     456     8.1183
0.76     396     8.1183
0.765     394     8.1312
0.77     392     8.1357
0.775     375     8.1258
0.78     384     8.113
0.785     412     8.1378
0.79     407     8.1345
0.795     376     8.1408
0.8     380     8.1225
0.805     403     8.1312
0.81     406     8.115
0.815     383     8.127
0.82     376     8.1204
0.825     412     8.127
0.83     407     8.1474
0.835     392     8.1196
0.84     385     8.1453
0.845     412     8.1411
0.85     405     8.139
0.855     394     8.1196
0.86     396     8.1564
0.865     407     8.1457
0.87     416     8.1324
0.875     400     8.1577
0.88     396     8.1486
0.885     420     8.1585
0.89     408     8.1573
0.895     388     8.1594
0.9     386     8.1498
0.905     408     8.1474
0.91     415     8.1453
0.915     404     8.1357
0.92     392     8.1411
0.925     424     8.1561
0.93     423     8.1507
0.935     408     8.1498
0.94     400     8.1627
0.945     417     8.166
0.95     430     8.1681
0.955     406     8.1746
0.96     400     8.1345
0.965     431     8.1324
0.97     432     8.1507
0.975     420     8.1627
0.98     408     8.1651
0.985     432     8.1681
0.99     444     8.1669
0.995     424     8.1833
1     411     8.1999
1.005     447     8.1833
1.01     437     8.1941
1.015     424     8.2094
1.02     416     8.1974
1.025     445     8.1863
1.03     446     8.2169
1.035     416     8.1941
1.04     412     8.2202
1.045     423     8.1896
1.05     416     8.2061
1.055     404     8.2211
1.06     400     8.2429
1.065     416     8.2277
1.07     407     8.2157
1.075     387     8.2094
1.08     388     8.2016
1.085     416     8.2178
1.09     410     8.208
1.095     392     8.2471
1.1     383     8.2355
1.105     404     8.245
1.11     407     8.2537
1.115     383     8.2645
1.12     375     8.2603
1.125     410     8.2591
1.13     408     8.269
1.135     388     8.2687
1.14     392     8.2699
1.145     406     8.2765
1.15     400     8.2777
1.155     376     8.2603
1.16     377     8.2657
1.165     414     8.2711
1.17     404     8.2777
1.175     392     8.2765
1.18     390     8.2786
1.185     409     8.269
1.19     407     8.269
1.195     390     8.269
1.2     392     8.3253
1.205     416     8.3079
1.21     411     8.3079
1.215     391     8.3067
1.22     387     8.2981
1.225     408     8.3166
1.23     418     8.3046
1.235     392     8.3232
1.24     397     8.3092
1.245     416     8.3059
1.25     403     8.3026
1.255     394     8.2939
1.26     383     8.3104
1.265     408     8.3166
1.27     407     8.3059
1.275     387     8.3079
1.28     394     8.3166
1.285     408     8.3011
1.29     408     8.2843
1.295     392     8.3005
1.3     392     8.2873
1.305     404     8.2856
1.31     408     8.2918
1.315     396     8.2546
1.32     389     8.2723
1.325     412     8.2939
1.33     403     8.2894
1.335     392     8.2852
1.34     391     8.2927
1.345     407     8.2918
1.35     416     8.2897
1.355     388     8.2798
1.36     387     8.2906
1.365     406     8.2972
1.37     415     8.2906
1.375     396     8.2699
1.38     385     8.2939
1.385     401     8.3079
1.39     401     8.2984
1.395     390     8.2939
1.4     388     8.322
1.405     415     8.3026
1.41     416     8.3166
1.415     395     8.3166
1.42     384     8.3079
1.425     411     8.3046
1.43     416     8.296
1.435     391     8.2744
1.44     392     8.3005
1.445     415     8.2762
1.45     414     8.3059
1.455     389     8.2873
1.46     402     8.2918
1.465     416     8.2981
1.47     415     8.3092
1.475     391     8.2984
1.48     384     8.2927
1.485     415     8.3005
1.49     420     8.3071
1.495     387     8.322
1.5     404     8.3046
1.505     422     8.2951
1.51     416     8.2984
1.515     409     8.2984
1.52     394     8.3005
1.525     423     8.2918
1.53     423     8.2819
1.535     399     8.2972
1.54     408     8.296
1.545     423     8.3038
1.55     423     8.3067
1.555     400     8.2918
1.56     404     8.305
1.565     424     8.269
1.57     420     8.3017
1.575     392     8.2972
1.58     402     8.2918
1.585     418     8.2939
1.59     415     8.3046
1.595     397     8.3146
1.6     391     8.2877
1.605     415     8.2819
1.61     415     8.31
1.615     399     8.2972
1.62     400     8.2819
1.625     424     8.3002
1.63     408     8.2906
1.635     392     8.3067
1.64     406     8.2894
1.645     456     8.3112
1.65     474     8.3067
1.655     500     8.3013
1.66     534     8.2993
1.665     576     8.2765
1.67     555     8.2993
1.675     479     8.3046
1.68     424     8.3179
1.685     407     8.2939
1.69     399     8.284
1.695     394     8.3232
1.7     404     8.2906
1.705     423     8.3056
1.71     438     8.3187
1.715     415     8.3295
1.72     408     8.3208
1.725     432     8.3038
1.73     438     8.3382
1.735     420     8.3481
1.74     412     8.3382
1.745     444     8.3232
1.75     444     8.3092
1.755     407     8.3121
1.76     411     8.3013
1.765     432     8.2993
1.77     439     8.2525
1.775     415     8.3199
1.78     416     8.2819
1.785     444     8.2708
1.79     444     8.2687
1.795     415     8.2633
1.8     424     8.2654
1.805     447     8.2786
1.81     446     8.2678
1.815     415     8.3038
1.82     426     8.2546
1.825     439     8.2525
1.83     452     8.2612
1.835     423     8.2415
1.84     429     8.2265
1.845     451     8.2417
1.85     456     8.2394
1.855     432     8.2091
1.86     432     8.207
1.865     466     8.2004
1.87     459     8.2265
1.875     434     8.1917
1.88     446     8.1971
1.885     470     8.2025
1.89     464     8.1755
1.895     460     8.1971
1.9     455     8.2157
1.905     478     8.2178
1.91     479     8.2178
1.915     462     8.2058
1.92     456     8.207
1.925     475     8.1917
1.93     478     8.2014
1.935     452     8.1962
1.94     455     8.1971
1.945     467     8.1842
1.95     471     8.1798
1.955     451     8.1887
1.96     440     8.1777
1.965     464     8.1821
1.97     463     8.1971
1.975     448     8.1993
1.98     423     8.2004
1.985     464     8.1798
1.99     451     8.1995
1.995     430     8.1993
2     417     8.2058
2.005     448     8.2037
2.01     444     8.2166
2.015     427     8.2166
2.02     416     8.2025
2.025     442     8.1971
2.03     431     8.2058
2.035     416     8.208
2.04     420     8.195
2.045     442     8.1831
2.05     432     8.1755
2.055     424     8.1798
2.06     416     8.1939
2.065     446     8.1885
2.07     440     8.1917
2.075     415     8.1842
2.08     420     8.1885
2.085     446     8.1755
2.09     448     8.1603
2.095     419     8.1755
2.1     424     8.1798
2.105     447     8.1939
2.11     439     8.1819
2.115     419     8.1852
2.12     415     8.1755
2.125     443     8.1885
2.13     441     8.169
2.135     417     8.157
2.14     423     8.1678
2.145     448     8.1592
2.15     446     8.1635
2.155     416     8.1495
2.16     423     8.1451
2.165     440     8.1723
2.17     440     8.1582
2.175     418     8.1603
2.18     415     8.1582
2.185     445     8.169
2.19     439     8.169
2.195     426     8.157
2.2     427     8.1755
2.205     440     8.1646
2.21     448     8.157
2.215     416     8.1711
2.22     416     8.1451
2.225     448     8.157
2.23     447     8.1483
2.235     420     8.1711
2.24     419     8.1678
2.245     443     8.1592
2.25     440     8.2014
2.255     428     8.1538
2.26     426     8.1765
2.265     447     8.1592
2.27     446     8.1516
2.275     415     8.1559
2.28     415     8.1755
2.285     437     8.1711
2.29     439     8.1646
2.295     416     8.1723
2.3     415     8.1971
2.305     448     8.1775
2.31     439     8.1613
2.315     420     8.1495
2.32     418     8.1375
2.325     447     8.1787
2.33     447     8.1667
2.335     415     8.1602
2.34     415     8.1841
2.345     440     8.1689
2.35     440     8.1624
2.355     423     8.1678
2.36     426     8.1723
2.365     448     8.1461
2.37     439     8.157
2.375     423     8.1408
2.38     424     8.1657
2.385     448     8.1549
2.39     448     8.1418
2.395     428     8.1678
2.4     432     8.1657
2.405     455     8.1732
2.41     455     8.1993
2.415     431     8.1744
2.42     432     8.196
2.425     451     8.1667
2.43     455     8.1732
2.435     431     8.1831
2.44     436     8.2004
2.445     456     8.2057
2.45     447     8.1798
2.455     431     8.1971
2.46     424     8.196
2.465     447     8.1787
2.47     447     8.1831
2.475     432     8.2003
2.48     415     8.2047
2.485     447     8.1755
2.49     448     8.1949
2.495     420     8.1906
2.5     416     8.1819
2.505     432     8.1895
2.51     447     8.208
2.515     423     8.2016
2.52     420     8.2199
2.525     440     8.2122
2.53     448     8.2188
2.535     426     8.2112
2.54     416     8.1949
2.545     463     8.2296
2.55     491     8.2101
2.555     511     8.1927
2.56     549     8.2112
2.565     596     8.2166
2.57     591     8.1981
2.575     495     8.2047
2.58     431     8.2014
2.585     417     8.2057
2.59     427     8.2274
2.595     414     8.2263
2.6     416     8.2111
2.605     452     8.1971
2.61     447     8.2198
2.615     432     8.2155
2.62     427     8.2188
2.625     454     8.2209
2.63     447     8.2122
2.635     434     8.2036
2.64     432     8.2274
2.645     456     8.2361
2.65     458     8.2176
2.655     434     8.1949
2.66     421     8.2502
2.665     448     8.2134
2.67     460     8.2187
2.675     431     8.2383
2.68     434     8.2566
2.685     458     8.2361
2.69     455     8.2274
2.695     431     8.2176
2.7     427     8.2242
2.705     453     8.2165
2.71     460     8.2209
2.715     439     8.2025
2.72     431     8.2176
2.725     468     8.1993
2.73     464     8.2187
2.735     448     8.2187
2.74     440     8.2415
2.745     472     8.235
2.75     463     8.2058
2.755     447     8.2209
2.76     447     8.2458
2.765     476     8.2068
2.77     465     8.2599
2.775     448     8.2448
2.78     455     8.1938
2.785     471     8.2404
2.79     477     8.2166
2.795     458     8.2393
2.8     464     8.2383
2.805     480     8.2523
2.81     479     8.261
2.815     464     8.2534
2.82     464     8.2458
2.825     480     8.2718
2.83     479     8.2361
2.835     468     8.2469
2.84     463     8.2339
2.845     487     8.2437
2.85     491     8.2523
2.855     467     8.2653
2.86     449     8.2469
2.865     480     8.2512
2.87     475     8.2664
2.875     447     8.2707
2.88     447     8.2588
2.885     464     8.2827
2.89     462     8.2686
2.895     435     8.2957
2.9     440     8.2827
2.905     449     8.2848
2.91     448     8.2902
2.915     436     8.2827
2.92     427     8.3
2.925     456     8.2902
2.93     448     8.2762
2.935     431     8.3054
2.94     419     8.287
2.945     455     8.3054
2.95     447     8.2838
2.955     431     8.2805
2.96     420     8.2827
2.965     456     8.2989
2.97     443     8.2773
2.975     424     8.2913
2.98     423     8.274
2.985     459     8.3054
2.99     448     8.3206
2.995     436     8.2859
3     423     8.2718
3.005     456     8.3
3.01     456     8.3184
3.015     424     8.2859
3.02     418     8.2859
3.025     450     8.2902
3.03     456     8.2762
3.035     419     8.3054
3.04     430     8.2848
3.045     447     8.3152
3.05     447     8.2957
3.055     423     8.2859
3.06     426     8.2902
3.065     448     8.274
3.07     447     8.2827
3.075     428     8.287
3.08     428     8.287
3.085     450     8.2762
3.09     450     8.2935
3.095     428     8.3076
3.1     415     8.3119
3.105     448     8.2935
3.11     441     8.3
3.115     419     8.2978
3.12     415     8.2936
3.125     435     8.3141
3.13     439     8.2838
3.135     424     8.2989
3.14     410     8.273
3.145     436     8.2881
3.15     446     8.3098
3.155     416     8.2925
3.16     415     8.2718
3.165     435     8.2849
3.17     439     8.2827
3.175     417     8.3011
3.18     415     8.2859
3.185     433     8.2751
3.19     448     8.3131
3.195     409     8.2892
3.2     410     8.2556
3.205     444     8.3065
3.21     440     8.3174
3.215     416     8.2957
3.22     420     8.3
3.225     431     8.2957
3.23     444     8.3141
3.235     415     8.2946
3.24     408     8.2913
3.245     439     8.2979
3.25     438     8.3011
3.255     416     8.3141
3.26     413     8.3077
3.265     444     8.299
3.27     442     8.3054
3.275     411     8.2935
3.28     422     8.3174
3.285     441     8.3065
3.29     439     8.3141
3.295     424     8.3065
3.3     419     8.3174
3.305     435     8.2979
3.31     444     8.3141
3.315     420     8.3098
3.32     415     8.3249
3.325     446     8.3098
3.33     440     8.3228
3.335     424     8.3195
3.34     416     8.3022
3.345     442     8.3174
3.35     436     8.3065
3.355     409     8.3218
3.36     408     8.3164
3.365     436     8.3229
3.37     430     8.3098
3.375     404     8.3239
3.38     400     8.3347
3.385     432     8.3314
3.39     424     8.3098
3.395     401     8.3358
3.4     404     8.3218
3.405     432     8.3293
3.41     425     8.3434
3.415     412     8.3455
3.42     424     8.3478
3.425     476     8.3575
3.43     497     8.3304
3.435     528     8.3413
3.44     573     8.3586
3.445     584     8.3607
3.45     546     8.3467
3.455     447     8.3434
3.46     396     8.3793
3.465     407     8.3802
3.47     407     8.3619
3.475     396     8.3793
3.48     408     8.364
3.485     425     8.365
3.49     438     8.3889
3.495     416     8.3553
3.5     407     8.3706
3.505     439     8.3814
3.51     432     8.3868
3.515     407     8.3706
3.52     414     8.3727
3.525     431     8.3631
3.53     431     8.3781
3.535     405     8.3553
3.54     415     8.3586
3.545     439     8.3704
3.55     440     8.3706
3.555     416     8.3748
3.56     411     8.4041
3.565     432     8.3933
3.57     432     8.4105
3.575     420     8.3847
3.58     420     8.376
3.585     440     8.3889
3.59     439     8.3978
3.595     416     8.3901
3.6     415     8.4149
3.605     448     8.4032
3.61     448     8.3824
3.615     428     8.4053
3.62     415     8.4009
3.625     443     8.416
3.63     440     8.4095
3.635     416     8.4203
3.64     423     8.4323
3.645     442     8.4203
3.65     443     8.441
3.655     420     8.4431
3.66     432     8.4225
3.665     456     8.4518
3.67     455     8.4161
3.675     427     8.4464
3.68     438     8.4562
3.685     451     8.4475
3.69     449     8.4312
3.695     431     8.467
3.7     440     8.4616
3.705     459     8.4583
3.71     464     8.4605
3.715     446     8.4626
3.72     444     8.4854
3.725     464     8.4734
