Time      ECG     TEB
0.005     51     6.2816
0.01     16     9.08
0.015     12     7.6516
0.02     17     6.6695
0.025     11     6.2965
0.03     12     6.3193
0.035     11     6.5215
0.04     9     6.8386
0.045     8     7.2087
0.05     14     7.6544
0.055     9     8.0912
0.06     12     8.493
0.065     11     8.8637
0.07     11     9.1003
0.075     12     9.1082
0.08     11     9.0982
0.085     12     9.1177
0.09     10     9.1251
0.095     13     9.0941
0.1     14     9.0995
0.105     12     9.121
0.11     14     9.1082
0.115     10     9.1177
0.12     9     9.1082
0.125     19     9.1015
0.13     9     9.1169
0.135     14     9.092
0.14     16     9.0928
0.145     8     9.0974
0.15     13     9.0961
0.155     11     9.1028
0.16     16     9.0961
0.165     11     9.1061
0.17     12     9.0995
0.175     13     9.1115
0.18     10     9.0826
0.185     12     9.1028
0.19     15     9.0949
0.195     12     9.1028
0.2     8     9.0874
0.205     15     9.0854
0.21     10     9.0821
0.215     11     9.0854
0.22     15     9.0626
0.225     14     9.0829
0.23     14     9.0655
0.235     15     9.0593
0.24     13     9.0916
0.245     14     9.0754
0.25     10     9.0647
0.255     12     9.0539
0.26     14     9.0854
0.265     12     9.0432
0.27     10     9.0572
0.275     15     9.0506
0.28     14     9.0693
0.285     13     9.0734
0.29     15     9.0647
0.295     13     9.0867
0.3     13     9.0916
0.305     13     9.0808
0.31     16     9.1048
0.315     4     9.1048
0.32     16     9.0767
0.325     9     9.0841
0.33     12     9.1069
0.335     14     9.0908
0.34     12     9.1015
0.345     9     9.1015
0.35     16     9.1135
0.355     6     9.1048
0.36     11     9.0928
0.365     10     9.1135
0.37     11     9.1123
0.375     11     9.1061
0.38     13     9.1202
0.385     17     9.1276
0.39     15     9.0982
0.395     11     9.1263
0.4     11     9.121
0.405     13     9.121
0.41     16     9.1102
0.415     13     9.1276
0.42     11     9.1156
0.425     11     9.1181
0.43     11     9.1102
0.435     12     9.1276
0.44     13     9.1222
0.445     11     9.1143
0.45     9     9.1123
0.455     16     9.1284
0.46     13     9.135
0.465     12     9.1255
0.47     16     9.1263
0.475     7     9.1243
0.48     15     9.1338
0.485     5     9.1437
0.49     13     9.1371
0.495     11     9.121
0.5     14     9.1417
0.505     11     9.1504
0.51     11     9.1483
0.515     12     9.1578
0.52     10     9.1504
0.525     14     9.1698
0.53     15     9.1624
0.535     13     9.1905
0.54     11     9.1491
0.545     12     9.1599
0.55     13     9.1566
0.555     12     9.1524
0.56     15     9.1698
0.565     11     9.1384
0.57     16     9.1425
0.575     11     9.1665
0.58     11     9.1599
0.585     12     9.1818
0.59     9     9.1731
0.595     12     9.174
0.6     13     9.1665
0.605     12     9.1491
0.61     10     9.1632
0.615     14     9.1644
0.62     15     9.1599
0.625     9     9.1504
0.63     10     9.1719
0.635     15     9.1632
0.64     12     9.1826
0.645     14     9.1686
0.65     13     9.1533
0.655     15     9.1706
0.66     12     9.1578
0.665     16     9.1524
0.67     15     9.1578
0.675     13     9.1545
0.68     11     9.1591
0.685     12     9.1653
0.69     9     9.1557
0.695     10     9.1624
0.7     13     9.1309
0.705     12     9.1557
0.71     11     9.174
0.715     13     9.1785
0.72     10     9.1342
0.725     9     9.1632
0.73     9     9.1384
0.735     10     9.1578
0.74     11     9.133
0.745     13     9.135
0.75     10     9.1524
0.755     11     9.1371
0.76     12     9.1297
0.765     10     9.1404
0.77     15     9.1458
0.775     13     9.1396
0.78     12     9.1297
0.785     15     9.1309
0.79     10     9.1524
0.795     15     9.1263
0.8     12     9.1243
0.805     6     9.1425
0.81     16     9.1417
0.815     13     9.1557
0.82     14     9.1404
0.825     10     9.1342
0.83     6     9.1471
0.835     16     9.1516
0.84     13     9.1284
0.845     10     9.1437
0.85     15     9.1644
0.855     11     9.1483
0.86     5     9.1417
0.865     13     9.1491
0.87     13     9.1363
0.875     9     9.1222
0.88     14     9.157
0.885     11     9.1429
0.89     8     9.1524
0.895     11     9.1363
0.9     11     9.1429
0.905     14     9.1317
0.91     16     9.1255
0.915     8     9.1483
0.92     5     9.1305
0.925     10     9.145
0.93     12     9.1409
0.935     9     9.1504
0.94     13     9.1317
0.945     5     9.1483
0.95     12     9.1305
0.955     12     9.1243
0.96     13     9.1115
0.965     16     9.1102
0.97     12     9.0982
0.975     7     9.133
0.98     16     9.1015
0.985     13     9.1169
0.99     11     9.1297
0.995     10     9.1284
1     15     9.1504
1.005     15     9.1417
1.01     14     9.1363
1.015     14     9.1591
1.02     11     9.1123
1.025     14     9.1202
1.03     12     9.1243
1.035     15     9.133
1.04     9     9.1143
1.045     10     9.1243
1.05     8     9.1115
1.055     9     9.1202
1.06     13     9.1289
1.065     9     9.1516
1.07     13     9.1263
1.075     13     9.1156
1.08     16     9.109
1.085     10     9.1143
1.09     11     9.1404
1.095     12     9.1115
1.1     12     9.1181
1.105     12     9.1197
1.11     12     9.1396
1.115     11     9.133
1.12     8     9.1624
1.125     19     9.1215
1.13     11     9.1156
1.135     11     9.1123
1.14     7     9.1156
1.145     11     9.1276
1.15     9     9.1471
1.155     15     9.1305
1.16     12     9.1074
1.165     18     9.1255
1.17     12     9.1342
1.175     12     9.1338
1.18     4     9.1197
1.185     9     9.145
1.19     10     9.1524
1.195     16     9.1557
1.2     8     9.1479
1.205     11     9.1417
1.21     11     9.145
1.215     14     9.1309
1.22     12     9.1665
1.225     9     9.1189
1.23     9     9.1545
1.235     11     9.1202
1.24     12     9.1429
1.245     15     9.1524
1.25     11     9.1611
1.255     16     9.1463
1.26     2     9.1437
1.265     20     9.1491
1.27     14     9.1591
1.275     10     9.135
1.28     16     9.135
1.285     11     9.145
1.29     12     9.1578
1.295     15     9.1458
1.3     14     9.1309
1.305     14     9.1371
1.31     12     9.1524
1.315     14     9.1611
1.32     14     9.1637
1.325     13     9.1516
1.33     12     9.1611
1.335     14     9.1587
1.34     14     9.1483
1.345     11     9.1545
1.35     12     9.1591
1.355     12     9.1611
1.36     13     9.1678
1.365     8     9.2054
1.37     13     9.1831
1.375     14     9.188
1.38     10     9.1752
1.385     17     9.1793
1.39     18     9.1893
1.395     12     9.2087
1.4     9     9.1905
1.405     16     9.1959
1.41     11     9.1831
1.415     13     9.198
1.42     10     9.2
1.425     12     9.1913
1.43     13     9.1458
1.435     3     9.1839
1.44     12     9.1706
1.445     14     9.1752
1.45     18     9.1698
1.455     9     9.2033
1.46     14     9.1731
1.465     13     9.1818
1.47     12     9.1731
1.475     11     9.1665
1.48     14     9.1752
1.485     18     9.1806
1.49     11     9.1781
1.495     12     9.1785
1.5     15     9.1611
1.505     7     9.1711
1.51     17     9.1603
1.515     15     9.1471
1.52     14     9.1644
1.525     10     9.1545
1.53     17     9.174
1.535     10     9.1926
1.54     15     9.1575
1.545     12     9.1719
1.55     20     9.1644
1.555     14     9.1644
1.56     16     9.1711
1.565     14     9.1624
1.57     16     9.155
1.575     9     9.1537
1.58     9     9.145
1.585     16     9.1578
1.59     10     9.1632
1.595     15     9.1591
1.6     16     9.135
1.605     9     9.1719
1.61     14     9.1243
1.615     14     9.1591
1.62     12     9.1719
1.625     16     9.1591
1.63     15     9.1545
1.635     13     9.1644
1.64     11     9.1686
1.645     12     9.1471
1.65     9     9.1437
1.655     16     9.145
1.66     14     9.1463
1.665     14     9.123
